Bus Name,Stop Order,Stop Name,latitude,longitude
Ayat,9,Khamar Bari,23.7591274,90.383882
Ayat,10,Farmgate,23.7590394,90.3871113
Ayat,11,Kawran Bazar,23.7514308,90.3948605
Ayat,12,Bangla Motor,23.7458397,90.3949387
Ayat,13,Mogbazar,23.7543737,90.40959957
Ayat,14,Mouchak,24.023552,90.292921
Ayat,15,Malibagh Moor,23.74419188,90.41424554
Ayat,16,Rajarbag,23.7395964,90.4171128
Ayat,17,Kamalapur,23.7325123,90.4257424
Bahon,1,Mirpur 14,23.7988425,90.3847119
Bahon,2,Mirpur 10,23.8083649,90.3682614
Bahon,3,Mirpur 2,23.8063402,90.35702594
Bahon,4,Mirpur 1,23.801924,90.3523456
Bahon,5,Ansar Camp,23.7929307,90.3532421
Bahon,6,Bangla College,23.7207387,90.418394
Bahon,7,Technical,24.15329785,90.67259393
Bahon,8,Darussalam,23.77843615,90.35604084
Bahon,9,Kallyanpur,23.7806848,90.3613321
Bahon,10,Shyamoli,23.7775998,90.3601928
Bahon,11,Asad Gate,23.7601299,90.3727245
Bahon,12,Dhanmondi 27,23.75404782,90.37137816
Bahon,13,Dhanmondi 32 Kalabagan,23.73802075,90.3859514
Bahon,14,Science Lab,23.7396929,90.3836057
Bahon,15,Katabon,23.7387417,90.3910003
Bahon,16,Shahbag,23.7401951,90.3901161
Bahon,17,High Court,23.7305,90.4034
Bahon,18,Press Club,22.967864,89.8176179
Bahon,19,Paltan,23.7313082,90.4120882
Bahon,20,Dainik Bangla Moor,23.7301345,90.4152482
